parameter,category,subcategory,definition,total_appearances,num_docs,avg_mentions_per_doc
Wages,Worker rights,Working conditions,"The policy mentions worker wages, discusses insufficient wages, or prescribes an acceptable wage. It may also address issues like naming tasks that must be compensated, the currency or form of payment, the frequency of payment, etc.",70,11,6.363636363636363
Freedom of association and fair representation,Worker rights,Working conditions,"The policy mentions workers' ability to organize, join unions, or participate in collective decision-making.",68,14,4.857142857142857
Health and safety risks,Worker rights,Working conditions,"The policy includes reference to protections against health and safety risks, mental or physical",38,13,2.923076923076923
Right to set working hours/schedule,Worker rights,Working conditions,"The policy mentions flexibility, worker control, or restrictions on employer-set schedules.",37,10,3.7
Mental health support,Employer and platform/contractor responsibilities,Contracts,"The policy includes mention of employer responsibilities related to counseling, mental health resources, or stress reduction for workers.",27,7,3.857142857142857
"Evaluation metrics, productivity standards and quotas",Worker rights,Working conditions,"The policy recommends acceptable methods for measurement of worker performance, productivity benchmarks, or quotas.",21,7,3.0
Fair contracts,Employer and platform/contractor responsibilities,Contracts,The policy outlines requirements for fair contracts and contract terms between workers and employers.,21,7,3.0
Security of tenure,Worker rights,Working conditions,The policy mentions protections against arbitrary dismissal or guarantees of continued employment.,20,9,2.2222222222222223
"Channels for workers to appeal decisions, raise complaints, seek clarification",Worker rights,Working conditions,"The policy includes references to grievance procedures or mechanisms for resolving disputes, such as the ability to appeal a work decision, raise complaints or seek clarification.",20,9,2.2222222222222223
Mental and physical health insurance,Worker rights,Benefits,"The policy mentions health coverage for workers, mental or physical.",18,7,2.5714285714285716
